Hypotheses # and name,Hypotheses,BMC Block,Value Map,Customer Profile,CS.#,Date of Hypotheses,Which interviews supported the hypotheses?,# of Yes,Which interviews rejected the hypotheses?,# of No,# of Total Interviews,Accept or Reject Hypotheses,Early Adopter,Field 15,Field 16,Which interviews rejected the hypotheses? copy
H67 - AM ROI Measurement Gap,"Operators who pilot AM don't scale because they lack measurement systems to quantify benefits (downtime saved, procurement costs avoided, space savings). Without tracking ROI scaling investment can't be justified.",Value Proposition,Product/Service,,"CS.1,CS.2",2026-2-5,47,1,,0,1,Insufficient Data,,,,
"H68 - Metal AM
  Knowledge Gap","Operators succeed with plastic AM but don't upgrade to metal because they lack awareness of: (1) technology maturity (2) cost models (3) suitable part identification. Platform must provide ""Metal AM Readiness Assessment.""",Value Proposition,Pain Relievers,,"CS.1,CS.2",2026-2-5,47,1,,0,1,Insufficient Data,,,,
"H69 -
  Electronics/Non-Structural Parts Best Fit for AM",Heavy metal structural components (crankshafts connecting rods) are NOT viable for marine AM. Electronics controllers relays and common components are best fit. Must narrow focus to specific part categories.,Customer Segment,,Customer Job,"CS.1,CS.2",2026-2-5,"46,47,56",3,,0,3,Insufficient Data,,,,
"H70 - Amazon Model
  Resonates with Industrial Customers","The ""Amazon model"" (get online need this shows up 24 hours later) now understood by industrial customers. Market education phase may be shorter than expected.",Channels,,,CS.1,2026-2-5,56,1,,0,1,Insufficient Data,,,,
"H71 - Big Companies
  = Deep Pockets = No Urgency","Large oil & gas companies (Tier 1) have deep pockets and don't care about $500K-$1M/day downtime costs. They're ""dinosaurs"" who won't move until market forces them. Target their smallest competitors instead.",Customer Segment,,Customer Pains,"CS.1,CS.4",2026-2-5,"47,55",2,,0,2,Insufficient Data,,,,
"H72 - Europe 10+
  Years Ahead of Canada in AM Ecosystem",Canadian AM ecosystem is 10 years behind Europe/US. European companies (Baker Hughes France Germany) already operational. Urgency to catch up.,Channels,,,"CS.1,CS.2",2026-2-5,55,1,,0,1,Insufficient Data,,,,
"NH.26 - Working
  Capital is Primary ROI Driver","The strongest adoption trigger is releasing working capital tied in spare parts, not warehouse savings alone.",Value Proposition,Gain Creators,Customer Gains,"CS.1,CS.4",2026-2-7,"57,61",2,,0,2,Insufficient Data,,,,
"NH.27 - Insurance
  Stock Conversion is Highest-Value Entry Point",Converting insurance stock (rarely used but expensive parts) into certified digital inventory offers the highest early ROI.,Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.4",2026-2-7,"57,58,62,64",4,,0,4,Insufficient Data,,,,
"NH.28 - Finance/CFO
  is the True Decision Owner",Inventory digitization decisions are approved at finance/CFO level when tied to risk-adjusted capital efficiency.,Customer Segment,,Customer Job,CS.1,2026-2-7,"57,58",2,,0,2,Insufficient Data,,,,
"NH.29 -
  Expediting/Freight Costs in Remote Locations",Remote operations incur significant expediting and freight costs that drive ROI for local manufacturing and digital inventory solutions.,Customer Segment,,Customer Pains,CS.1,2026-2-7,"57,61",2,,0,2,Insufficient Data,,,,
"NH.30 - Arctic
  Warehouse Heating Costs",Arctic and cold-climate warehouse operations have hidden heating costs that add to total cost of ownership for physical inventory.,Customer Segment,,Customer Pains,CS.1,2026-2-7,"57,58,61",3,,0,3,Insufficient Data,,,,
"NH.31 - Legacy
  Equipment Documentation Gap",Older equipment lacks proper documentation creating barriers to reverse engineering and digital inventory creation.,Customer Segment,,Customer Pains,"CS.1,CS.2",2026-2-7,,0,,0,0,Insufficient Data,,,,
"NH.32 - Fully Digital
  Warehouse is Unrealistic",Complete elimination of physical inventory is not feasible; hybrid models combining physical and digital inventory are required.,Value Proposition,Pain Relievers,Customer Pains,CS.1,2026-2-7,"57,59",2,,0,2,Insufficient Data,,,,
"NH.33 - Obsolete
  Parts Have No IP Barriers",Parts that are obsolete or no longer manufactured often have reduced IP protection concerns enabling reverse engineering and AM production.,Value Proposition,Gain Creators,Customer Gains,"CS.1,CS.2",2026-2-7,"57,59,60",3,,0,3,Insufficient Data,,,,
"NH.34 - SAP
  Traceability Critical",SAP and ERP traceability integration is critical for regulatory compliance and quality management in digital inventory systems.,Key Resources,,,CS.1,2026-2-10,,0,,0,0,Insufficient Data,,,,
"NH.35 - Atlantic XL
  meets quality standards",Hypothesis that existing AM service providers like Atlantic XL already meet required quality standards for offshore applications.,Value Proposition,,,CS.2,2026-2-10,,0,59,1,1,Insufficient Data,,,,
"NH.36 - DfAM reduces
  cost (only for <50 units)",Design for Additive Manufacturing (DfAM) provides cost advantages only for low-volume production (<50 units); traditional manufacturing is more economical at higher volumes.,Customer Segment,,Customer Job,"CS.1,CS.2",2026-2-10,,0,,0,0,Insufficient Data,,,,59
"NH.37 - V&V can
  be standardized",Verification and Validation (V&V) processes for AM parts can be standardized similar to traditional manufacturing methods.,Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.2",2026-2-10,59,1,,0,1,Insufficient Data,,,,
"NH.38 - O&G
  Informal Parts-Sharing Networks Already Exist",Operators already coordinate and share critical spares through informal or cooperative networks; platforms should integrate rather than replace this behavior.,Customer Segment,,Customer Job,CS.1,2026-2-10,,0,,0,0,Insufficient Data,,,,59
"NH.39 -
  Certification Cost Can Exceed Manufacturing Cost","For offshore and defence parts, certification/testing cost can outweigh manufacturing cost and must be front-loaded in the business case.",Customer Segment,,Customer Pains,"CS.1,CS.4",2026-2-9,59,1,,0,1,Insufficient Data,,,,
"NH.40 - AI Value is
  Optimization/Prediction, Not Autonomous QA",AI is most valuable for inventory optimization and predictive maintenance decisions; autonomous quality/certification decisions are not trusted.,Value Proposition,Gain Creators,Customer Gains,"CS.1,CS.4",2026-2-9,59,1,,0,1,Insufficient Data,,,,
"NH.41 - Greenfield
  Offshore Projects Are Better Beachheads",Greenfield offshore projects (without legacy warehousing) are better initial markets than brownfield assets with entrenched inventory systems.,Customer Segment,,Customer Job,"CS.1,CS.4",2026-2-9,58,1,,0,1,Insufficient Data,,,,
"NH.42 -
  Consortium/Cooperative Models Reduce Adoption Risk",Consortium or cooperative structures lower IP and operational risk perception and accelerate adoption of shared digital inventory models.,Key Partnerships,,,"CS.1,CS.4",2026-2-12,58,1,,0,1,Insufficient Data,,,,
"NH.43 - Royalty
  Licensing Can Unlock OEM File Release",Per-print royalty/licensing models can make OEMs more willing to release controlled digital files for distributed production.,Revenue Streams,,,CS.4,2026-2-12,58,1,,0,1,Insufficient Data,,,,
"NH.44 - C-NLOPB
  engagement during R&D reduces certification timeline",Engaging regulatory bodies like C-NLOPB (Canada-Newfoundland and Labrador Offshore Petroleum Board) during R&D phase rather than after can reduce certification timeline from years to months.,Key Partnerships,,,"CS.1,CS.4",2026-2-12,58,1,,0,1,Insufficient Data,,,,
"H73 -
  Value-Capability-Permission Framework Predicts Adoption",Adoption occurs only when value and technical capability are matched by regulatory/organizational permission; permission is often the bottleneck.,Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.4",2026-2-12,,0,,0,0,Insufficient Data,,,,
"H74 - Full
  Manufacturing Recipe Is Required (Not CAD File Only)","A useful digital inventory asset must include full manufacturing recipe (machine parameters, materials, QA constraints), not just geometry files.",Value Proposition,Product/Service,Customer Gains,"CS.1,CS.2",2026-2-12,,0,,0,0,Insufficient Data,,,,
"H75 -
  Certification-as-a-Service Is Required for Operator Adoption",Operators adopt faster when the platform handles compliance workload end-to-end rather than expecting internal teams to manage certification prep.,Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.4",2026-2-13,,0,,0,0,Insufficient Data,,,,
"H76 -
  Aerospace-First Certification Builds Cross-Sector Credibility",    Winning certification and trust in aerospace can accelerate adoption in offshore O&G by reducing perceived credibility and safety risk.   ,Channels,,,"CS.1,CS.4",2026-2-13,63,1,,0,1,Insufficient Data,,,,
nh.31,,,,,,,"57,58",2,,0,2,Insufficient Data,,,,
nh.42,,,,,,,58,1,,0,1,Insufficient Data,,,,
nh.34,,,,,,,59,1,,0,1,Insufficient Data,,,,
H77 - NDT Micro-CT Required for AM Quality,2D radiography/X-ray NDT cannot detect internal AM defects with sufficient precision; Micro-CT (3D computed tomography) is required but is expensive and slow with high false-positive rates.,Key Resources,Pain Relievers,Customer Pains,"CS.1,CS.2,CS.3",2026-2-21,67,1,,0,1,Insufficient Data,Certification labs and AM facilities investing in quality assurance for regulated industry customers,,,
H78 - Qualification is Machine+Powder+Process Specific,AM qualification is specific to machine type + powder source + process parameters. Any change (machine upgrade or powder supplier switch) triggers full re-qualification - creating massive cost and delay risk.,Customer Segment,,Customer Pains,"CS.1,CS.2",2026-2-21,67,1,,0,1,Insufficient Data,AM facilities managing multiple product lines or upgrading equipment,,,
H79 - FAT Results Block Navy/CAF AM Adoption,Factory Acceptance Testing (FAT) conducted by Navy/CAF consistently shows AM parts have inferior fatigue performance vs. conventional parts. Cultural and performance barriers block adoption beyond temporary/non-critical applications.,Customer Segment,,Customer Pains,CS.4,2026-2-21,67,1,,0,1,Insufficient Data,Defense procurement teams evaluating AM for critical naval applications,,,
H80 - HIP Post-Processing Eliminates AM Speed Advantage,Hot Isostatic Pressing (HIP) required to eliminate AM porosity adds significant cost and weeks to delivery time - eliminating the speed advantage that makes AM attractive. Business case requires non-HIP part classification.,Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.2",2026-2-21,67,1,,0,1,Insufficient Data,AM facilities and buyers evaluating economics of metal AM for offshore/marine applications,,,
H81 - Certification Cost Equals Hardware Cost,In offshore and defence applications certification and testing costs can equal or exceed manufacturing/hardware costs. Business case must front-load this reality not treat it as a footnote.,Customer Segment,,Customer Pains,"CS.1,CS.4",2026-2-21,"59,67",2,,0,2,Insufficient Data,CFOs and procurement managers evaluating total cost of AM adoption,,,
H82 - Non-OEM At-Spec Parts Already Accepted in Maritime,"Maritime vessel operators already regularly purchase and use non-OEM aftermarket parts at-specification. AM parts certified to LR/DNV specs should be equally acceptable - the market is more permissive than assumed for non-critical, non-structural vessel components.",Customer Segment,,Customer Job,CS.1,2026-2-20,68,1,,0,1,Insufficient Data,"Offshore vessel operators, marine fleet managers buying non-critical spare parts",,,
H83 - DNV Certifies Vessel Level Not Part Level,DNV and Lloyd's Register enforce certification at vessel/equipment level not individual part level for maritime vessels. This lowers the AM certification barrier - operators just need parts within equipment specification not per-part classification society approval.,Value Proposition,Gain Creators,Customer Gains,CS.1,2026-2-20,68,1,,0,1,Insufficient Data,Marine vessel operators sourcing non-critical replacement parts outside OEM supply chain,,,
H84 - Space/Rocket Market is AM-Native Unlike Commercial Aviation,"New Space companies (Reaction Dynamics, SpaceX model) treat AM as standard production method for rocket engines. Commercial aviation (40-year lifecycle, FAA) rejects AM for critical parts. Offshore/naval sits between - closer to rockets in lifecycle/volume.",Customer Segment,,Customer Job,"CS.1,CS.4",2026-2-20,69,1,,0,1,Insufficient Data,Aerospace startups and defense system integrators seeking certified AM production partners,,,
H85 - AM Part Consolidation Creates Defensible Platform Assets,AM can consolidate 30-40 conventional parts into a single 3D-printed component. OEMs that design AM-native sub-assemblies create exclusive digital assets for the platform - not just digital copies of existing parts. New product line for OEM.,Value Proposition,Gain Creators,Customer Gains,"CS.1,CS.4",2026-2-20,69,1,,0,1,Insufficient Data,OEM engineering teams designing next-generation products with AM-native architecture,,,
H86 - Pre-Qualified Builder Network Eliminates 6-Week-to-6-Month Risk,"Unvetted AM outsourcing turns 6-week timelines into 6-month disasters (Reaction Dynamics war story). Platform's pre-qualified, LR/DNV-certified Builder nodes solve this - buyers know the facility can actually print the part correctly before committing.",Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.2",2026-2-20,69,1,,0,1,Insufficient Data,Startups and SMEs outsourcing AM production without in-house expertise,,,
H87 - DED AM Can Repair Worn Parts (Offshore Application),"Directed Energy Deposition (DED) printers can add material to worn parts, effectively reprinting worn surfaces. This repair-not-replace use case could be high value for aging offshore/naval equipment where OEM replacement parts are unavailable.",Value Proposition,Gain Creators,Customer Gains,"CS.1,CS.4",2026-2-20,69,1,,0,1,Insufficient Data,Offshore and naval maintenance teams managing aging equipment with obsolete OEM parts,,,
H88 - Traceability is IP Protection (Not Just Encryption),"Platform IP protection does not require military-grade DRM. Logged permissioned access (who downloaded what when for which machine) creates the paper trail that makes IP law enforceable. This is MORE traceable than physical parts distribution. Every print is a receipt.",Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.4",2026-2-20,70,1,,0,1,Insufficient Data,OEMs evaluating whether to release controlled digital blueprints to platform,,,
H89 - CNA RCDTAC as Designer Node Partner (3D Scanning),"CNA RCDTAC (Heather Ward, heather.ward@cna.nl.ca) provides 3D scanning and reverse engineering capabilities - qualifying them as a Designer node for legacy parts without existing digital blueprints. Key partner for obsolete part digitization.",Key Partnerships,,,CS.1,2026-2-20,70,1,,0,1,Insufficient Data,Offshore and naval operators with aging equipment where OEM CAD files no longer exist,,,
H90 - Technology Adoption is Political Not Technical,"The primary barrier to AddManuChain adoption is organizational inertia and political risk, not technology readiness or certification. Adoption is triggered by: (1) big name endorsement, (2) government mandate, (3) internal R&D legitimacy. Technical proof alone is insufficient.",Channels,,,CS.1,2026-2-21,71,1,,0,1,Insufficient Data,Technology champions inside operators who need executive cover to pilot new platforms,,,
H91 - Game Theory Consortium Model Breaks Coordination Stalemate,"AM adoption suffers from a Prisoner's Dilemma: no operator wants to go first alone. A multi-operator consortium (3+ operators sharing pilot cost and risk) removes first-mover disadvantage and creates Nash Equilibrium where adoption becomes the dominant strategy for all.",Key Partnerships,Gain Creators,Customer Gains,"CS.1,CS.4",2026-2-21,"58,71",2,,0,2,Insufficient Data,Groups of competing operators in the same sector who individually lack adoption incentive but collectively benefit,,,
H92 - Industry Event Focal Point Strategy (Schelling Point),"Using a major industry event (Hannover Messe, ONS Stavanger, Offshore Technology Conference) to announce or launch AddManuChain makes it the visible 'Schelling point' the industry coordinates around — solving the coordination problem without requiring direct negotiation between operators.",Channels,,,CS.1,2026-2-21,71,1,,0,1,Insufficient Data,Early adopter operators seeking proof that peers are also considering the platform,,,
H93 - CME NL as Distribution Validation Partner,"CME NL (Canadian Manufacturers & Exporters, NL chapter) with 1000+ member companies is willing to co-run pilot programs and technology tours, providing market access for AddManuChain across Atlantic Canada's manufacturing base.",Key Partnerships,,,CS.1,2026-2-16,73,1,,0,1,Insufficient Data,Atlantic Canadian industrial companies considering advanced manufacturing who are CME members,,,
H94 - Canada Makes 15 Percent Reach = 85 Percent Market Gap,"Canada Makes (now ENGINE/NCAN) reaches only ~15% of Canadian manufacturers despite being the national AM network. The remaining 85% are unaware of or unconnected to available AM solutions — this is AddManuChain's addressable awareness + connectivity market.",Channels,,,CS.1,2026-2-16,73,1,,0,1,Insufficient Data,Canadian manufacturers in the 85% not currently engaged with Canada Makes or any AM network,,,
H95 - AM Ecosystem Connectivity Gap Before Technology Gap,"The primary barrier to AM adoption for most Canadian manufacturers is not technology readiness but awareness, ecosystem connectivity, and knowledge. Solving connectivity (who to talk to, which parts qualify, who can certify) is prerequisite to solving technology adoption.",Channels,,,CS.1,2026-2-16,73,1,,0,1,Insufficient Data,SME manufacturers not yet connected to AM service providers or certification bodies,,,
H96 - Atlantic XL as Anchor Builder Node (First Americas LR Certification),"Atlantic XL (St. John's NL) received Lloyd's Register facility qualification certificate on Feb 18 2026 — the first LR-qualified AM facility in the entire Americas. This makes them the anchor production partner for AddManuChain's platform launch in the Newfoundland offshore market.",Key Partnerships,,,CS.2,2026-2-18,74,1,,0,1,Insufficient Data,Offshore O&G operators and naval buyers in Atlantic Canada seeking LR-certified AM production capability,,,
H97 - FieldNode is Primary Competitor No Certification Layer No Canada,"FieldNode (European O&G AM digital inventory consortium: ConocoPhillips/Equinor/Shell/TotalEnergies/ExxonMobil/BP) proposes similar functionality but has no LR/DNV certification layer and no Canadian-market presence. AddManuChain's moat = selling trust (certification) not just connectivity.",Channels,,,CS.1,2026-2-18,"66,74",2,,0,2,Insufficient Data,Canadian O&G and naval operators who have seen or evaluated FieldNode already,,,
H98 - LR 7-Step Certification Framework Platform Architecture,"Adam Saxty (LR UK) provided the complete 7-step AM certification pathway which directly maps to platform architecture: Steps 3-4 (facility) and Steps 1-2+5 (part design) are once-only investments; Step 6 (production with test coupon) recurs per order. This is the technical validation for the pre-certified parts library.",Key Resources,Product/Service,Customer Gains,"CS.1,CS.2,CS.3",2026-2-18,75,1,,0,1,Insufficient Data,Platform architects and certification partners designing the AddManuChain certification workflow,,,
H99 - Machine Variability Blocks On-Site AM Certification,"Current AM certification is machine-specific: a part qualified on one machine cannot be assumed to print correctly on a different machine offshore. This is the primary technical barrier to on-vessel and on-site printing without a certified facility. Solution: in-process monitoring (LR R&D).",Key Resources,Pain Relievers,Customer Pains,"CS.1,CS.2",2026-2-18,75,1,,0,1,Insufficient Data,Offshore operators and naval fleets considering on-vessel AM capability,,,
H100 - In-Process Monitoring is Future of AM Certification,"Layer-by-layer in-process monitoring (replacing test coupons with real-time process data) is Lloyd's Register's declared R&D direction for AM certification. This technology would eventually enable machine-agnostic certification and unlock on-site/on-vessel AM. Research collaboration opportunity with Dalhousie.",Key Partnerships,Gain Creators,Customer Gains,"CS.1,CS.2",2026-2-18,75,1,,0,1,Insufficient Data,Research institutions and platform architects planning 5-year AM certification roadmap,,,
H101 - Canadian Navy Availability Gap 30-50 Actual vs 70-80 Target,"Canadian Navy ships are currently available 30-50% of the time against a target of 70-80%. Spare parts delay is a documented primary driver of this gap. AM digital inventory directly addresses this metric — use it in every Navy pitch as the KPI.",Customer Segment,,Customer Pains,CS.4,2026-2-18,76,1,,0,1,Insufficient Data,DND procurement and naval maintenance teams evaluating platforms to improve ship availability,,,
H102 - AOR/JSS Vessels Correct Naval AM Platform Not Combat Ships,"On-vessel AM is premature for combat vessels (vibration/motion/space). AOR (Auxiliary Oiler Replenishment) and JSS (Joint Support Ships) are the correct naval architecture - designed for containerized modules and fleet servicing. Shore-based certified facilities (Halifax/Esquimalt) are best near-term model.",Customer Segment,,Customer Job,CS.4,2026-2-18,76,1,,0,1,Insufficient Data,Canadian Navy maintenance and logistics planners evaluating options for ship-based AM capability,,,
H103 - Victoria-Class Submarine Custom Obsolete Parts Crisis,"Canada's 4 Victoria-class submarines are each custom-built differently; 'as-built' certification requires exactly replicating the original part but OEM parts no longer exist. Ships have 20-30 years age with only 5-10 years service life left. AM + digital reverse engineering of as-built records = rational solution.",Customer Segment,,Customer Pains,CS.4,2026-2-18,76,1,,0,1,Insufficient Data,Canadian Navy submarine maintenance teams and DND procurement officers,,,
H104 - Platform Certification Not Part Certification in Aerospace,"In aerospace the entire platform (737/A320) holds FAA/EASA certification not individual components. GKN as Tier-1 supplier supports OEM certification but does not hold it independently. This means our digital inventory is NOT relevant to aerospace production — only to aerospace MRO and defense.",Customer Segment,,Customer Job,"CS.1,CS.4",2026-2-18,77,1,,0,1,Insufficient Data,Aerospace program managers and procurement teams potentially evaluating AddManuChain for production use,,,
H105 - MMPDS Gap is Real Aerospace Certification Barrier,"The MMPDS (Metallic Materials Properties Development and Standardization) database underpins all conventional aerospace certification but has no AM equivalent. Every AM part in aerospace requires bespoke material characterization. A platform that builds and shares AM material databases (with IP protection) would solve the MMPDS gap.",Key Resources,Gain Creators,Customer Gains,"CS.1,CS.4",2026-2-18,77,1,,0,1,Insufficient Data,Aerospace Tier-1 suppliers and OEM engineering teams certifying AM components for the first time,,,
H106 - FAA PMA Pathway for AM Replacement Parts,"FAA Part Manufacturing Approval (PMA) is the regulatory pathway for certifying replacement/aftermarket parts including AM — equivalent concept to pre-certified parts library. Matthew Erning achieved the first metal AM PMA certification at Tronosjet PEI. Canadian equivalent = TCCA STC/PMA pathway.",Value Proposition,Pain Relievers,Customer Pains,"CS.1,CS.4",2026-2-18,77,1,,0,1,Insufficient Data,Aerospace and defense operators sourcing approved replacement parts for aging platforms,,,
H107 - Aerospace Production Wrong Market MRO Defense Right,"Civilian aerospace production (Airbus/Boeing rate-based supply chain) is the wrong market for AddManuChain — demand is planned not unplanned. Aerospace MRO (unplanned repair/replacement) and defense aerospace (unpredictable demand mandate-driven connectivity) are the right markets.",Customer Segment,,Customer Job,"CS.1,CS.4",2026-2-18,77,1,,0,1,Insufficient Data,Aerospace MRO operators and defense aerospace supply chain managers,,,
H108 - Canada Makes Select AM Tool Partner Not Competitor,"Canada Makes (led by Mark Kirby) is developing a Select AM tool that helps companies identify which of their 100K+ parts are AM candidates. This is a foundation layer — AddManuChain should position as 'next layer on top' (digital inventory + certification + facility matching) not as a competitor.",Key Partnerships,,,CS.1,2026-2-3,78,1,,0,1,Insufficient Data,Canadian OEMs with large legacy part inventories evaluating AM conversion,,,
H109 - NGen as Ecosystem Gateway 65 Percent Accuracy Gap,"NGen's AI-powered value chain mapping tool is only 65% accurate (too low for market launch). This accuracy gap is a platform partnership opportunity: AddManuChain's AI matching algorithms + LR certification data could improve NGen's tool while gaining access to NGen's member network.",Key Partnerships,Gain Creators,Customer Gains,"CS.1,CS.2",2026-2-3,78,1,,0,1,Insufficient Data,NGen member companies and advanced manufacturing ecosystem organizations,,,
