Hypotheses # and name,Hypotheses,BMC Block,Value Map,Customer Profile,CS.#,Date of Hypotheses,Which interviews supported the hypotheses?,# of Yes,Which interviews rejected the hypotheses?,# of No,# of Total Interviews,Accept or Reject Hypotheses,Early Adopter,Field 15,Field 16,Which interviews rejected the hypotheses? copy
NH.21 - Breakdown Insurance Positioning (Not Cost Savings),"AM should be positioned as ""breakdown insurance"" for unpredictable failures, not as cost savings for planned maintenance. This reframes AM as complementary to predictive maintenance, not competitive.",Value Proposition,,Gain Creators,"CS.1, CS.4",2026-02-05,"Interview 13 - Lee Vessey (Thales), Interview 16 - Harvey Doane, Interview 17 - Jean-Michel Fortin, Interview 23 - Jim Granger (temporary parts validated), Interview 31 - Mike Paulin (C-CORE)",5,,0,5,Strongly Supported,"Industries with critical downtime costs: offshore O&G, Navy, mining, power generation",,,
NH.22 - Sovereign Resilience is Defense Value Proposition,"For Canadian Defense applications, ""sovereign resilience"" and domestic manufacturing capability is the primary value proposition - reducing dependence on foreign supply chains.",Value Proposition,,Gain Creators,CS.4,2026-02-05,"Interview 13 - Lee Vessey (Thales/Canadian Navy), Interview 20 - Assembly Studio (Canadian patriotism), Interview 34 - Aaron Plamondon (Irving Shipbuilding)",3,,0,3,Supported,"Canadian DND, defense contractors (Thales, L3Harris), government procurement",,,
NH.23 - Digital Inventory is Not Uniquely AM (Mark Kirby Insight),"Digital inventory concept (storing files vs physical parts) is not uniquely tied to AM - traditional manufacturing can also use digital files. AM is ONE production method, not the only one.",Value Proposition,,,CS.1,2026-02-05,"Interview 9 - Mark Kirby (UWaterloo MSAM), Interview 35 - Nathan Smeenk (Agile Manufacturing)",2,,0,2,Supported,"Reposition platform as 'digital inventory + manufacturing network' not 'AM platform'. Include CNC, casting, injection molding options.",,,
NH.24 - Workforce Shortage Limits Adoption (32%),Workforce shortages (32% cite as barrier) limit ability to adopt new technology even when companies want to. Platform must reduce workforce burden through automation.,Customer Segment,,Customer Pains,"CS.1, CS.2",2026-02-05,"Interview 19 - Fanny Charreteur (PRIMA Québec survey), Interview 23 - Jim Granger (technical expertise loss driving AI adoption)",2,,0,2,Strongly Supported,"Companies with limited technical staff, manufacturers in tight labor markets",,,
NH.25 - Only 20% Engaged with Digital Transformation,Only 20% of manufacturing companies actively engage with digital transformation programs. 80% are unaware or not ready. Market education is prerequisite to sales.,Channels,,,"CS.1, CS.2",2026-02-05,"Interview 19 - Fanny Charreteur (PRIMA Québec - Digital Transformation Offensive data), Interview 20 - Assembly Studio (90%+ know supply chain broken but <10% know about AM)",2,,0,2,Strongly Supported,"Target the 20% early adopters first, not the 80% who need education",,,
H47 - Inter-Lab Secure Collaboration Network,Labs need access to specialized instruments they don't own and would use a secure platform that enables confidential test requests to other labs without revealing proprietary project details.,Value Proposition,Product/Service,,CS.3,2026-01-27,Interview - Khashayar Morshed Behbahani (Dalhousie Lab),1,,0,1,Supported,University and research labs with specialized testing needs seeking secure external instrument access,,,
H48 - Cost/ROI Decision Support Tools for Labs,Labs would pay for decision support tools that help justify AM equipment investments by comparing costs capabilities and ROI vs. traditional manufacturing methods.,Value Proposition,Gain Creators,,CS.3,2026-01-27,Interview - Khashayar Morshed Behbahani (Dalhousie Lab),1,,0,1,Supported,Lab directors and administrators evaluating equipment purchases requiring ROI justification,,,
H49 - Feasibility Assessment & Project Planning Tools,Labs would value tools that help assess project feasibility based on material parameters and available instruments reducing failed projects by 30-40%.,Value Proposition,Gain Creators,,CS.3,2026-01-27,Interview - Khashayar Morshed Behbahani (Dalhousie Lab),1,,0,1,Supported,Lab researchers and managers seeking to reduce trial-and-error costs,,,
H60 - Pre-Certified Parts Library,"AM adoption is hindered by lack of reusable certifications. A platform that catalogs pre-certified AM part designs (with certificate numbers, materials, facilities qualified to produce them) would dramatically lower adoption barriers.",Value Proposition,Product/Service,,"CS.1, CS.2, CS.3",2026-02-07,"Interview 11 - Dr. Ali Nasiri (Tronosjet certified laser part example), Interview 23 - Jim Granger (validates concept)",2,,0,2,Supported,"Aerospace and marine companies seeking certified parts, facilities wanting to offer pre-certified designs",,,
H61 - In-Process Defect Detection (Research Opportunity),AM cost optimization is limited by post-production quality discovery. An AI + IoT system that detects defects mid-print and adjusts parameters in real-time would significantly reduce waste and accelerate AM cycle time. No commercial product exists yet.,Key Resources,Gain Creators,,"CS.2, CS.4",2026-02-07,"Interview 11 - Dr. Ali Nasiri (US universities working on it, no produced machine yet)",1,,0,1,Supported (Research),"AM facilities seeking cost reduction, PhD research opportunity",,,
H62 - Corrosion Prediction for Offshore Assets,Halifax/offshore operators waste millions on reactive corrosion maintenance. AI-powered visual inspection (drones + computer vision) could predict corrosion failures and trigger just-in-time AM part orders via digital inventory.,Value Proposition,Gain Creators,,"CS.1, CS.2",2026-02-07,Interview 11 - Dr. Ali Nasiri (saving millions of dollars using AI in corrosion inspection),1,,0,1,Supported,"Offshore operators, maritime companies, Halifax-based businesses",,,
H63 - Offshore Inventory Depletion Monitoring,"Offshore assets (ROVs, vessels, oil rigs) experience surprise spare parts stockouts due to lack of real-time inventory tracking. A platform that monitors depletion predicts stockouts and provides digital AM alternatives would reduce emergency downtime.",Value Proposition,Product/Service,,"CS.1, CS.2",2026-02-07,"Interview 10 - Jordan Cumming (sooner or later you're gonna run out), Interview 31 - Mike Paulin (C-CORE), Interview 33 - Tyler Beatty (ExxonMobil Canada)",3,,0,3,Supported,"Offshore vessel operators, ROV companies, oil platform maintenance teams",,,
H64 - Temporary AM Parts for Non-Critical Applications,"Offshore operators would accept ""temporary"" AM parts for non-critical systems if it avoids catastrophic downtime, even with lower certification standards than permanent OEM parts. Called ""MacGyver engineering"" by industry.",Value Proposition,Product/Service,,"CS.1, CS.2",2026-02-07,"Interview 10 - Jordan Cumming (concept has value), Interview 12 - Clearwater Seafoods (print a part that helps us out of a jam), Interview 23 - Jim Granger (Navy example validated), Interview 31 - Mike Paulin (C-CORE), Interview 32 - Shawn Sooley (Shield Group)",5,,0,5,Strongly Supported,"Offshore operators, naval vessels, remote facilities with critical downtime exposure",,,
H65 - Defense Sector Digital Inventory (Canadian Navy),Canadian Navy vessel operations face same digital inventory challenges as commercial offshore (obsolete parts long lead times operational downtime) and would adopt platform proven in commercial sector. Thales + Cove actively working on this.,Customer Segment,,Customer Job,CS.4,2026-02-07,Interview 10 - Jordan Cumming (Thales + Cove AM challenge program for Arctic Patrol Vessels),1,,0,1,Supported,"Canadian DND, defense contractors (Thales), naval shipyards",,,
H66 - Space Constraint on Vessels,"Offshore vessels face competitive space allocation and AM adoption is limited not by technology or cost but by inability to justify printer footprint vs traditional spare parts storage. ""Biggest challenge on a vessel is space.""",Customer Segment,,Customer Pains,"CS.1, CS.2",2026-02-07,"Interview 12 - Clearwater Seafoods (space and how it's prioritized), Interview 23 - Jim Granger (ship space is limited)",2,,0,2,Supported,"Vessel operators, offshore platform managers, naval logistics",,,
H67 - AM ROI Measurement Gap,"Operators who pilot AM don't scale because they lack measurement systems to quantify benefits (downtime saved, procurement costs avoided, space savings). Without tracking ROI scaling investment can't be justified.",Value Proposition,Product/Service,,"CS.1, CS.2",2026-02-07,"Interview 12 - Clearwater Seafoods (haven't found enough tangible benefits despite operational use), Interview 30 - Adam Chubbs (Frobisher Energy), Interview 35 - Nathan Smeenk (Agile Manufacturing)",3,,0,3,Supported,"Companies with AM pilots seeking scaling justification, facilities with underutilized printers",,,
H68 - Metal AM Knowledge Gap,"Operators succeed with plastic AM but don't upgrade to metal because they lack awareness of: (1) technology maturity (2) cost models (3) suitable part identification. Platform must provide ""Metal AM Readiness Assessment.""",Value Proposition,Pain Relievers,,"CS.1, CS.2",2026-02-07,Interview 12 - Clearwater Seafoods (not sure where the technology has advanced to),1,,0,1,Supported,"Companies with plastic AM pilots interested in metal upgrade, manufacturing consultants",,,
H69 - Electronics/Non-Structural Parts Best Fit for AM,Heavy metal structural components (crankshafts connecting rods) are NOT viable for marine AM. Electronics controllers relays and common components are best fit. Must narrow focus to specific part categories.,Customer Segment,,Customer Job,"CS.1, CS.2",2026-02-07,"Interview 23 - Jim Granger (electronics = yes, heavy metal = no), Interview 11 - Dr. Ali Nasiri (non-structural focus), Interview 12 - Clearwater (plastic parts only), Interview 31 - Mike Paulin (C-CORE)",5,,0,5,Strongly Supported,"Marine equipment suppliers, offshore operators with electronics needs",,,
H70 - Amazon Model Resonates with Industrial Customers,"The ""Amazon model"" (get online need this shows up 24 hours later) now understood by industrial customers. Market education phase may be shorter than expected.",Channels,,,CS.1,2026-02-07,Interview 23 - Jim Granger (customers have latched on to Amazon model concept),1,,0,1,Supported,"Industrial customers already familiar with consumer e-commerce models, B2B procurement managers",,,
H71 - Big Companies = Deep Pockets = No Urgency,"Large oil & gas companies (Tier 1) have deep pockets and don't care about $500K-$1M/day downtime costs. They're ""dinosaurs"" who won't move until market forces them. Target their smallest competitors instead.",Customer Segment,,Customer Pains,"CS.1, CS.4",2026-02-07,"Interview 20 - Assembly Studio (dinosaurs won't move), Interview 12 - Clearwater (haven't found enough tangible benefits)",2,Interview 33 - Tyler Beatty (ExxonMobil Canada),1,3,Partially Supported,"Target Tier 2/3 operators who can't afford downtime, not Tier 1 majors",,,Interview 33 - Tyler Beatty (ExxonMobil Canada)
H72 - Europe 10+ Years Ahead of Canada in AM Ecosystem,Canadian AM ecosystem is 10 years behind Europe/US. European companies (Baker Hughes France Germany) already operational. Urgency to catch up.,Channels,,,"CS.1, CS.2",2026-02-07,"Interview 20 - Assembly Studio (10 years behind), Interview 11 - Dr. Ali Nasiri (Europe faster than US faster than Canada)",2,,0,2,Validated (Market Context),"Canadian manufacturers seeking to close gap, regional AM hubs, government innovation programs",,,
NH.26 - Working Capital is Primary ROI Driver,"The strongest adoption trigger is releasing working capital tied in spare parts, not warehouse savings alone.",Value Proposition,Gain Creators,Customer Gains,"CS.1, CS.4",2026-02-07,"Interview 25 - Kwadwo Ampofo (Deloitte), Interview 30 - Adam Chubbs (Frobisher Energy), Interview 33 - Tyler Beatty (ExxonMobil Canada)",3,,0,3,Supported,CFO-led operations teams in offshore O&G and remote utilities,,,
NH.27 - Insurance Stock Conversion is Highest-Value Entry Point,Converting insurance stock (rarely used but expensive parts) into certified digital inventory offers the highest early ROI.,Value Proposition,Pain Relievers,Customer Pains,"CS.1, CS.4",2026-02-07,"Interview 25 - Kwadwo Ampofo (Deloitte), Interview 30 - Adam Chubbs (Frobisher Energy), Interview 33 - Tyler Beatty (ExxonMobil Canada)",3,,0,3,Supported,Asset-heavy operators with high safety stock obligations,,,
NH.28 - Finance/CFO is the True Decision Owner,Inventory digitization decisions are approved at finance/CFO level when tied to risk-adjusted capital efficiency.,Customer Segment,,Customer Job,CS.1,2026-02-07,"Interview 25 - Kwadwo Ampofo (Deloitte), Interview 33 - Tyler Beatty (ExxonMobil Canada)",2,,0,2,Supported,Finance-driven operators with formal capex/opex governance,,,
NH.38 - O&G Informal Parts-Sharing Networks Already Exist,Operators already coordinate and share critical spares through informal or cooperative networks; platforms should integrate rather than replace this behavior.,Customer Segment,,Customer Job,CS.1,2026-02-10,"Interview 28 - Andrew Smith (Design Smith), Interview 31 - Mike Paulin (C-CORE)",2,,0,2,Supported,Operators already participating in pooled-spares or ad-hoc sharing models,,,
NH.39 - Certification Cost Can Exceed Manufacturing Cost,"For offshore and defence parts, certification/testing cost can outweigh manufacturing cost and must be front-loaded in the business case.",Customer Segment,,Customer Pains,"CS.1, CS.4",2026-02-10,"Interview 28 - Andrew Smith (Design Smith), Interview 34 - Aaron Plamondon (Irving Shipbuilding)",2,,0,2,Supported,Teams with dedicated compliance and test-budget ownership,,,
"NH.40 - AI Value is Optimization/Prediction, Not Autonomous QA",AI is most valuable for inventory optimization and predictive maintenance decisions; autonomous quality/certification decisions are not trusted.,Value Proposition,Gain Creators,Customer Gains,"CS.1, CS.4",2026-02-10,"Interview 28 - Andrew Smith (Design Smith), Interview 30 - Adam Chubbs (Frobisher Energy), Interview 31 - Mike Paulin (C-CORE), Interview 33 - Tyler Beatty (ExxonMobil Canada)",4,,0,4,Supported,Operators with existing CMMS/IoT data and human-in-loop engineering teams,,,
NH.41 - Greenfield Offshore Projects Are Better Beachheads,Greenfield offshore projects (without legacy warehousing) are better initial markets than brownfield assets with entrenched inventory systems.,Customer Segment,,Customer Job,"CS.1, CS.4",2026-02-09,"Interview 27 - Keith Healey (ERINL), Interview 31 - Mike Paulin (C-CORE), Interview 33 - Tyler Beatty (ExxonMobil Canada)",3,,0,3,Supported,New offshore developments planning first-wave logistics and reliability architecture,,,
NH.42 - Consortium/Cooperative Models Reduce Adoption Risk,Consortium or cooperative structures lower IP and operational risk perception and accelerate adoption of shared digital inventory models.,Key Partners,,,"CS.1, CS.4",2026-02-09,"Interview 27 - Keith Healey (ERINL), Interview 31 - Mike Paulin (C-CORE), Interview 33 - Tyler Beatty (ExxonMobil Canada)",3,,0,3,Supported,Industry groups and operators already using pooled procurement mechanisms,,,
NH.43 - Royalty Licensing Can Unlock OEM File Release,Per-print royalty/licensing models can make OEMs more willing to release controlled digital files for distributed production.,Revenue Streams,,,CS.4,2026-02-09,Interview 27 - Keith Healey (ERINL),1,,0,1,Supported,OEMs with large aftermarket portfolios and clear licensing governance,,,
H73 - Value-Capability-Permission Framework Predicts Adoption,Adoption occurs only when value and technical capability are matched by regulatory/organizational permission; permission is often the bottleneck.,Value Proposition,Pain Relievers,Customer Pains,"CS.1, CS.4",2026-02-12,"Interview 33 - Tyler Beatty (ExxonMobil Canada), Interview 34 - Aaron Plamondon (Irving Shipbuilding)",2,,0,2,Supported,Program owners navigating management-of-change and certification gates,,,
H74 - Full Manufacturing Recipe Is Required (Not CAD File Only),"A useful digital inventory asset must include full manufacturing recipe (machine parameters, materials, QA constraints), not just geometry files.",Value Proposition,Product/Service,Customer Gains,"CS.1, CS.2",2026-02-13,"Interview 35 - Nathan Smeenk (Agile Manufacturing), Interview 33 - Tyler Beatty (ExxonMobil Canada)",2,,0,2,Supported,Operators with mixed supplier networks and strict reproducibility requirements,,,
H75 - Certification-as-a-Service Is Required for Operator Adoption,Operators adopt faster when the platform handles compliance workload end-to-end rather than expecting internal teams to manage certification prep.,Value Proposition,Pain Relievers,Customer Pains,"CS.1, CS.4",2026-02-12,"Interview 32 - Shawn Sooley (Shield Group), Interview 34 - Aaron Plamondon (Irving Shipbuilding)",2,,0,2,Supported,Operations teams with constrained regulatory engineering capacity,,,
H76 - Aerospace-First Certification Builds Cross-Sector Credibility,Winning certification and trust in aerospace can accelerate adoption in offshore O&G by reducing perceived credibility and safety risk.,Channels,,,"CS.1, CS.4",2026-02-12,"Interview 32 - Shawn Sooley (Shield Group), Interview 34 - Aaron Plamondon (Irving Shipbuilding)",2,,0,2,Supported,Teams selling into both aerospace and offshore regulated environments,,,
